REGION,DISTRICT,WARD,SCHOOL NAME,SCHOOL REG. NUMBER,NECTA EXAM CENTRE NO.,SCHOOL OWNERSHIP,Form 1-Boys,Form 1-Girls,Form 2-Boys,Form 2-Girls,Form 3-Boys,Form 3-Girls,Form 4-Boys,Form 4-Girls,Form 5-Boys,Form 5-Girls,Form 6-Boys,Form 6-Girls,Total Boys,Total Girls,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Pass Rate (2016),AVERAGE GPA 2016,BAND OF SCHOOL 2016,BAND OF SCHOOL 2015,RANK OF SCHOOL 2016,RANK OF SCHOOL 2015,Candidates
MOROGORO,KILOMBERO,MNGETA,MCHOMBE,S.1983,S2052,GOVERNMENT,50,31,15,20,29,21,14,3,,,,,108,75,22,3,22,3,7.3,7.3,45,4.5662,9,8,3046,797,MORE THAN 40
MOROGORO,KILOMBERO,CHITA,CHITA,S.1984,S2053,GOVERNMENT,100,93,63,61,42,34,39,28,,,,,244,216,18,8,18,8,17.7,17.7,45,4.5068,9,10,2889,3410,MORE THAN 40
MOROGORO,KILOMBERO,IDETE,MATUNDU HILL,S.1985,S2054,GOVERNMENT,89,74,61,35,28,36,19,29,,,,,197,174,16,12,16,12,13.3,13.3,63,4.2325,7,10,1777,3438,MORE THAN 40
MOROGORO,KILOMBERO,UTENGULE,MUTENGA,S.1986,S2055,GOVERNMENT,46,20,25,26,18,17,7,16,,,,,96,79,14,4,13,4,9.7,10.3,47,4.5294,9,9,2950,3074,MORE THAN 40
TANGA,KOROGWE,KIZARA,KIZARA,S.1987,S3936,GOVERNMENT,44,46,71,32,18,15,17,8,,,,,150,101,11,4,5,2,16.7,35.9,75,4.2352,7,8,873,2623,LESS THAN 40
TANGA,KOROGWE,MKOMAZI,BUIKO,S.1988,S3858,GOVERNMENT,17,11,25,15,10,16,5,10,,,,,57,52,15,6,14,6,5.2,5.5,50,4.1994,7,8,822,838,LESS THAN 40
MWANZA,SENGEREMA,BUSISI,BUSISI,S.1989,S2047,GOVERNMENT,53,60,55,62,48,46,35,17,,,,,191,185,21,15,21,15,10.4,10.4,63,4.1597,7,8,1501,2789,MORE THAN 40
KILIMANJARO,MWANGA,LEMBENI,CHANJALE SEMINARI,S.199,S0420,NON-GOVERNMENT,52,46,50,35,49,10,43,29,,,,,194,120,14,3,11,3,18.5,22.4,100,2.7626,4,3,172,112,MORE THAN 40
MWANZA,BUCHOSA,LUGATA,LUGATA,S.1990,S2048,GOVERNMENT,153,106,138,68,97,38,74,36,,,,,462,248,13,1,13,1,50.7,50.7,89,3.9535,6,7,930,1249,MORE THAN 40
MWANZA,BUCHOSA,ILIGAMBA,ILIKAGAMBA,S.1991,S2049,GOVERNMENT,107,63,103,80,51,32,45,14,,,,,306,189,9,2,9,2,45.0,45.0,67,4.1284,7,7,1398,1447,MORE THAN 40
MARA,MUSOMA,NYAKATENDE,NYAKATENDE,S.1992,S1899,GOVERNMENT,125,72,102,65,58,12,34,12,,,,,319,161,15,12,14,12,17.8,18.5,49,4.4152,8,8,2529,2804,MORE THAN 40
MARA,MUSOMA,BUGWEMA,BUGWEMA,S.1993,S1900,GOVERNMENT,110,79,57,55,34,22,19,6,,,,,220,162,10,6,9,4,23.9,29.4,60,4.418,8,10,2545,1151,MORE THAN 40
MARA,BUTIAMA,KYANYARI,KYANYARI,S.1994,S1901,GOVERNMENT,151,93,130,75,85,33,52,29,,,,,418,230,19,3,19,3,29.5,29.5,44,4.5743,9,7,3070,1849,MORE THAN 40
MARA,MUSOMA,SUGUTI,SUGUTI,S.1995,S1902,GOVERNMENT,124,124,94,55,49,39,38,20,,,,,305,238,18,5,15,4,23.6,28.6,39,4.5704,9,8,3059,2590,MORE THAN 40
MARA,MUSOMA,TEGERUKA,TEGERUKA,S.1996,S1903,GOVERNMENT,102,60,42,37,34,21,22,12,,,,,200,130,13,4,13,4,19.4,19.4,76,4.2214,7,9,855,3341,LESS THAN 40
MARA,BUTIAMA,MIRWA,MIRWA,S.1997,S1904,GOVERNMENT,73,41,51,41,33,19,24,18,,,,,181,119,14,3,14,3,17.6,17.6,56,4.4663,8,9,2741,1089,MORE THAN 40
MARA,BUTIAMA,BUKABWA,MMAZAMI,S.1998,S1905,GOVERNMENT,99,66,47,46,48,20,25,5,,,,,219,137,21,7,21,7,12.7,12.7,57,4.4774,8,8,2779,2372,MORE THAN 40
MARA,MUSOMA,ETARO,ETARO,S.1999,S1906,GOVERNMENT,84,71,75,40,32,8,41,12,,,,,232,131,16,6,16,5,16.5,17.3,58,4.4481,8,8,2665,2741,MORE THAN 40
PWANI,KISARAWE,KISARAWE,MINAKI,S.2,,GOVERNMENT,,,,,,,,,335,0,325,0,660,0,36,31,35,31,9.9,10.0,,,,,,,
TABORA,TABORA MC,KITETE,TABORA BOYS,S.20,S0155,GOVERNMENT,115,0,91,0,93,0,103,0,173,0,129,0,704,0,28,10,26,10,18.5,19.6,100,2.1253,3,4,41,124,MORE THAN 40
MBEYA,BUSOKELO,LUTEBA,MWAKALELI,S.200,S0417,GOVERNMENT,45,66,27,47,38,26,21,34,250,173,168,83,549,429,32,8,30,7,24.5,26.4,68,4.2684,7,7,1925,1112,MORE THAN 40
MARA,MUSOMA,MAKOJO,MAKOJO,S.2000,S1907,GOVERNMENT,60,60,52,51,48,15,39,11,,,,,199,137,15,5,13,5,16.8,18.7,46,4.5776,9,9,3077,3022,MORE THAN 40
MARA,BUTIAMA,BUHEMBA,BUHEMBA,S.2001,S1908,GOVERNMENT,82,71,68,64,21,15,23,16,,,,,194,166,18,1,18,1,18.9,18.9,74,4.2374,7,8,1803,2247,MORE THAN 40
MARA,MUSOMA,BUKUMI,MTIRO,S.2002,S1909,GOVERNMENT,69,47,56,44,24,16,13,7,,,,,162,114,11,5,11,5,17.3,17.3,53,4.5249,9,9,2943,3202,MORE THAN 40
ARUSHA,LONGIDO,OLMOLOG,ENDUIMET,S.2003,S3948,GOVERNMENT,73,58,98,108,70,78,59,51,,,,,300,295,27,9,26,9,16.5,17.0,66,4.1748,7,7,1549,1666,MORE THAN 40
LINDI,NACHINGWEA,UGAWAJI,NAMBAMBO,S.2004,S2219,GOVERNMENT,77,59,88,64,80,83,62,48,,,,,307,254,11,10,11,10,26.7,26.7,47,4.4158,8,8,2533,2484,MORE THAN 40
LINDI,LINDI,NAHUKAHUKA,NAHUKAHUKA,S.2005,S2218,GOVERNMENT,28,30,23,4,8,3,7,2,,,,,66,39,4,1,4,1,21.0,21.0,16,4.8305,10,0,1430,0,LESS THAN 40
DAR ES SALAAM,KINONDONI MC,WAZO,AFRICANA,S.2006,S1892,NON-GOVERNMENT,5,5,4,9,11,4,12,11,,,,,32,29,6,1,6,1,8.7,8.7,68,4.3295,8,8,2180,2078,MORE THAN 40
MTWARA,MTWARA MIKINDANI MC,UFUKONI,AQUINAS,S.2007,S2153,NON-GOVERNMENT,30,74,28,93,20,80,12,56,32,14,21,8,143,325,18,4,13,4,21.3,27.5,100,2.6103,4,3,134,105,MORE THAN 40
MWANZA,MWANZA CC,IGOMA,IGOMA,S.2008,S1910,GOVERNMENT,175,189,196,206,146,119,119,134,,,,,636,648,33,21,33,21,23.8,23.8,78,4.0878,7,7,1274,1041,MORE THAN 40
