REGION,DISTRICT,WARD,SCHOOL NAME,SCHOOL REG. NUMBER,NECTA EXAM CENTRE NO.,SCHOOL OWNERSHIP,Form 1-Boys,Form 1-Girls,Form 2-Boys,Form 2-Girls,Form 3-Boys,Form 3-Girls,Form 4-Boys,Form 4-Girls,Form 5-Boys,Form 5-Girls,Form 6-Boys,Form 6-Girls,Total Boys,Total Girls,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Pass Rate (2016),AVERAGE GPA 2016,BAND OF SCHOOL 2016,BAND OF SCHOOL 2015,RANK OF SCHOOL 2016,RANK OF SCHOOL 2015,Candidates
KIGOMA,KIGOMA,MATENDO,ST. JOSEPH ITERAMBOGO,S.0114,S0159,NON-GOVERNMENT,85,0,69,0,57,0,73,0,,,,,284,0,18,1,7,0,14.9,40.6,100,1.8816,2,2,18,23,MORE THAN 40
IRINGA,IRINGA,KALENGA,TOSAMAGANGA,S.1,,GOVERNMENT,0,0,0,0,0,0,0,0,417,0,434,0,851,0,26,22,24,19,17.7,19.8,,,,,,,
DAR ES SALAAM,ILALA MC,UPANGA MAGHARIBI,TAMBAZA,S.10,,GOVERNMENT,,,,,,,,,228,212,208,172,436,384,24,42,24,42,12.4,12.4,,,,,,,
KILIMANJARO,MOSHI MC,KARANGA,MOSHI TECHNICAL,S.100,S0135,GOVERNMENT,121,45,132,50,186,103,206,110,190,0,252,0,1087,308,52,44,42,44,14.5,16.2,89,3.3923,5,6,399,691,MORE THAN 40
NJOMBE,MAKAMBAKO TC,MAJENGO,MCF MAKAMBAKO WASICHANA,S.1000,S0257,NON-GOVERNMENT,0,83,0,97,0,91,0,95,,,,,0,366,9,3,9,3,30.5,30.5,100,3.6966,6,6,591,537,MORE THAN 40
RUVUMA,MBINGA TC,MASUMUNI,MAKITA,S.1001,S1186,GOVERNMENT,76,81,28,21,54,40,85,35,120,0,77,0,440,177,21,17,17,10,16.2,22.9,83,4.1427,7,8,1445,1973,MORE THAN 40
KAGERA,NGARA,RUSUMO,BARAMBA,S.1002,S0258,NON-GOVERNMENT,0,67,0,109,0,85,0,80,,,,,0,341,13,3,10,3,21.3,26.2,97,3.6356,6,5,544,337,MORE THAN 40
IRINGA,IRINGA MC,GANGILONGA,KLERUU,S.1003,S1327,GOVERNMENT,87,110,97,102,113,115,130,128,,,,,427,455,23,21,21,21,20.0,21.0,90,3.8538,6,6,763,662,MORE THAN 40
ARUSHA,MERU,IMBASENI,TANZANIA ADVENTIST (TASS),S.1004,S1198,NON-GOVERNMENT,19,10,22,16,58,41,26,26,25,8,25,27,175,128,25,5,25,5,10.1,10.1,100,3.3114,5,4,359,236,MORE THAN 40
ARUSHA,NGORONGORO,OLORIEN/MAGAIDURU,LOLIONDO,S.1005,S1274,GOVERNMENT,66,60,86,100,55,47,80,60,55,0,,,342,267,26,12,23,12,16.0,17.4,89,3.9769,6,7,989,924,MORE THAN 40
MOROGORO,KILOMBERO,MLIMBA,MLIMBA DAY,S.1006,S1166,GOVERNMENT,114,116,81,77,64,84,70,75,,,,,329,352,27,10,26,10,18.4,18.9,43,4.5169,9,8,2915,2068,MORE THAN 40
MANYARA,SIMANJIRO,ENDIAMUTU,MERERANI BENJAMIN WILLIAM MKAPA,S.1007,S1320,GOVERNMENT,76,86,80,88,78,88,40,39,,,,,274,301,22,8,22,8,19.2,19.2,65,4.1789,7,8,1567,2765,MORE THAN 40
MTWARA,MTWARA,NANGURUWE,NANGURUWE,S.1008,S1511,GOVERNMENT,69,98,52,97,25,24,22,18,,,,,168,237,20,7,9,3,15.0,33.8,51,4.4527,8,8,2685,2559,MORE THAN 40
KAGERA,BUKOBA,KISHOGO,KISHOGO,S.1009,S1208,GOVERNMENT,91,105,86,69,65,61,41,44,,,,,283,279,10,3,10,3,43.2,43.2,64,4.3342,8,7,2200,1769,MORE THAN 40
KAGERA,BIHARAMULO,NYARUBUNGO,ST. CHARLES LWANGA KATOKE SEMINARI,S.101,S0118,NON-GOVERNMENT,78,2,81,0,62,0,64,0,19,0,,,304,2,21,2,14,1,13.3,20.4,100,2.0256,3,2,12,18,LESS THAN 40
DAR ES SALAAM,TEMEKE MC,KIJICHI,NELUKA,S.1010,S1188,NON-GOVERNMENT,7,16,3,20,13,21,15,31,,,,,38,88,5,3,4,3,15.8,18.0,93,3.8019,6,7,709,910,MORE THAN 40
MARA,SERENGETI,MANCHIRA,IKOMA,S.1011,S1212,GOVERNMENT,72,66,85,70,56,45,54,51,,,,,267,232,17,11,14,11,17.8,20.0,55,4.4201,8,7,2555,1283,MORE THAN 40
MARA,SERENGETI,KEBANCHEBANCHE,IKORONGO,S.1012,S1293,GOVERNMENT,129,98,98,85,64,24,40,17,,,,,331,224,24,0,19,0,23.1,29.2,71,4.1822,7,7,1580,1084,MORE THAN 40
TANGA,BUMBULI,VUGA,VUGABAZO,S.1013,S1399,GOVERNMENT,66,83,82,79,41,39,19,32,,,,,208,233,10,3,10,3,33.9,33.9,53,4.439,8,9,2633,3194,MORE THAN 40
TANGA,LUSHOTO,LUKOZI,LUKOZI,S.1014,S1206,GOVERNMENT,63,90,60,102,35,55,22,27,,,,,180,274,10,11,7,7,21.6,32.4,34,4.6484,9,8,3191,2715,MORE THAN 40
TANGA,BUMBULI,NKONGOI,MGWASHI,S.1015,S1389,GOVERNMENT,61,68,20,41,30,17,15,17,,,,,126,143,11,1,11,1,22.4,22.4,53,4.3656,8,6,2319,707,MORE THAN 40
DAR ES SALAAM,KINONDONI MC,WAZO,GREEN ACRES,S.1018,S1197,NON-GOVERNMENT,27,53,35,43,30,32,81,81,,,,,173,209,21,0,19,0,18.2,20.1,96,3.6386,6,6,551,709,MORE THAN 40
MWANZA,MWANZA CC,MAHINA,BISMARK,S.1020,S1194,NON-GOVERNMENT,18,14,20,24,30,31,39,44,,,,,107,113,16,1,12,1,12.9,16.9,100,3.2317,5,5,323,359,MORE THAN 40
TANGA,TANGA CC,MAJENGO,MAAWAL,S.1021,S1192,NON-GOVERNMENT,57,86,90,81,82,116,66,78,,,,,295,361,22,4,17,4,25.2,31.2,95,3.7272,6,6,621,676,MORE THAN 40
KIGOMA,KIGOMA,NYARUBANDA,NYARUBANDA,S.1022,S1270,GOVERNMENT,97,93,79,62,48,34,44,28,128,0,91,0,487,217,17,4,13,4,33.5,41.4,73,4.2748,7,7,1952,1247,MORE THAN 40
MANYARA,HANANG,KATESH,KATESH,S.1023,S1211,GOVERNMENT,81,105,55,79,48,62,30,47,,,,,214,293,14,12,14,12,19.5,19.5,87,3.7534,6,6,650,792,MORE THAN 40
KILIMANJARO,SAME,VUMARI,VUMARI,S.1024,S1242,GOVERNMENT,60,91,79,117,51,78,35,43,,,,,225,329,15,12,13,12,20.5,22.2,62,4.2961,7,8,2046,1992,MORE THAN 40
MTWARA,MASASI TC,MWENGE MTAPIKA,MTAPIKA,S.1025,S1228,GOVERNMENT,67,56,64,90,23,30,21,31,,,,,175,207,11,11,11,11,17.4,17.4,47,4.5509,9,8,3007,1946,MORE THAN 40
MOROGORO,MOROGORO MC,KIHONDA,ST. ANN GIRLS,S.1026,S0260,NON-GOVERNMENT,0,109,0,79,0,76,0,45,,,,,0,309,12,3,12,3,20.6,20.6,100,2.281,3,3,64,44,MORE THAN 40
SINGIDA,MANYONI,SOLYA,ST. JOHN'S SEMINARY,S.1027,S0192,NON-GOVERNMENT,28,41,23,23,33,36,27,25,,,,,111,125,15,5,5,3,11.8,29.5,100,2.8488,4,4,189,173,MORE THAN 40
DODOMA,BAHI,CHALI,CHIKOPELO,S.1028,S1408,GOVERNMENT,34,40,48,20,13,10,14,12,,,,,109,82,10,5,10,5,12.7,12.7,68,4.216,7,8,848,2423,LESS THAN 40
MOROGORO,MOROGORO MC,KIHONDA MAGHOROFANI,KIHONDA,S.1029,S1222,GOVERNMENT,262,280,228,262,202,261,200,223,,,,,892,1026,32,58,31,54,21.3,22.6,75,4.0897,7,7,1281,1121,MORE THAN 40
KILIMANJARO,HAI,ROMU,KIBOHEHE,S.103,S0318,NON-GOVERNMENT,12,8,15,15,21,26,23,29,3,0,1,0,75,78,7,4,7,4,13.9,13.9,86,4.0007,7,7,1039,1018,MORE THAN 40
MANYARA,KITETO,ENGUSERO,ENGUSERO,S.1030,S1215,GOVERNMENT,90,79,86,116,61,72,34,16,,,,,271,283,13,8,13,8,26.4,26.4,80,3.9895,6,8,1010,2116,MORE THAN 40
RUVUMA,SONGEA MC,MSAMALA,MSAMALA,S.1031,S1220,GOVERNMENT,144,118,85,80,68,82,84,101,133,0,96,0,610,381,30,24,30,23,18.4,18.7,90,3.9935,6,6,1020,757,MORE THAN 40
MOROGORO,MOROGORO MC,KIHONDA,EDUCARE,S.1032,S1200,NON-GOVERNMENT,14,20,12,27,22,27,27,26,,,,,75,100,10,1,7,1,15.9,21.9,99,3.6525,6,5,558,407,MORE THAN 40
SONGWE,MBOZI,IYULA,SIMBEGA,S.1033,S1249,GOVERNMENT,60,87,59,83,34,70,27,27,,,,,180,267,18,10,18,9,16.0,16.6,42,4.3812,8,8,2379,2667,MORE THAN 40
MARA,BUNDA,IRAMBA,KWIRAMBA,S.1034,S1312,GOVERNMENT,114,60,121,94,65,34,34,11,,,,,334,199,20,6,20,6,20.5,20.5,47,4.5435,9,8,2993,2708,MORE THAN 40
MARA,BUNDA,BUTIMBA,BULAMBA,S.1035,S1624,GOVERNMENT,145,95,94,66,49,22,42,28,,,,,330,211,25,4,24,4,18.7,19.3,84,4.0832,7,8,1261,2567,MORE THAN 40
SHINYANGA,MSALALA,BUSANGI,BUSANGI,S.1036,S1354,GOVERNMENT,55,28,48,34,37,21,20,29,,,,,160,112,15,8,15,8,11.8,11.8,68,4.2246,7,7,1745,1054,MORE THAN 40
SHINYANGA,KAHAMA TC,ISAGEHE,MPERA,S.1037,S1235,GOVERNMENT,51,66,74,63,44,88,73,56,,,,,242,273,13,6,13,6,27.1,27.1,66,4.2041,7,7,1652,1762,MORE THAN 40
SHINYANGA,USHETU,UKUNE,DAKAMA,S.1038,S1240,GOVERNMENT,21,48,22,52,27,31,28,46,56,44,40,24,194,245,14,8,14,8,20.0,20.0,59,4.2344,7,7,1784,1605,MORE THAN 40
ARUSHA,MERU,POLI,URAKI,S.1039,S1229,GOVERNMENT,53,57,34,37,26,47,31,23,,,,,144,164,29,34,27,32,4.9,5.2,71,4.2533,7,8,1867,2272,MORE THAN 40
ARUSHA,ARUSHA,MLANGARINI,MLANGARINI,S.1040,S1573,GOVERNMENT,97,119,161,234,110,165,82,123,0,36,,,450,677,25,21,25,21,24.5,24.5,71,4.1673,7,6,1525,818,MORE THAN 40
ARUSHA,MERU,UWIRO,KISIMIRI,S.1041,S1268,GOVERNMENT,120,147,130,131,124,133,89,107,42,27,41,19,546,564,53,17,53,17,15.9,15.9,88,3.6966,6,6,592,510,MORE THAN 40
DAR ES SALAAM,ILALA MC,GONGOLAMBOTO,JUHUDI,S.1042,S1241,GOVERNMENT,148,158,223,222,188,217,176,179,59,35,,,794,811,31,52,31,52,19.3,19.3,77,4.0038,7,6,1050,667,MORE THAN 40
KILIMANJARO,SAME,BENDERA,BEMKO,S.1043,S1277,GOVERNMENT,55,43,59,60,52,53,39,25,,,,,205,181,15,14,14,13,13.3,14.3,77,4.1482,7,7,1462,1691,MORE THAN 40
KILIMANJARO,SAME,BWAMBO,KIGANGO,S.1044,S1348,GOVERNMENT,28,20,7,16,23,21,12,25,,,,,70,82,12,9,12,9,7.2,7.2,68,4.3626,8,10,1063,3425,LESS THAN 40
MWANZA,MISUNGWI,KOROMIJE,KOROMIJE,S.1045,S1233,GOVERNMENT,151,113,93,57,98,74,49,34,,,,,391,278,20,10,16,9,22.3,26.8,64,4.2949,7,8,2041,1935,MORE THAN 40
MWANZA,MISUNGWI,MISASI,MISASI,S.1046,S1227,GOVERNMENT,149,145,121,139,100,73,58,43,,,,,428,400,18,12,18,12,27.6,27.6,79,4.0684,7,8,1218,1974,MORE THAN 40
SIMIYU,BUSEGA,MKULA,MKULA,S.1047,S1238,GOVERNMENT,54,52,72,54,41,39,38,31,,,,,205,176,21,4,21,4,15.2,15.2,59,4.3373,8,6,2218,858,MORE THAN 40
RUKWA,NKASI,KATE,KATE,S.1048,S1232,GOVERNMENT,73,58,49,46,38,35,25,18,51,0,21,39,257,196,15,2,15,2,26.6,26.6,61,4.44,8,8,2636,2335,MORE THAN 40
IRINGA,IRINGA,MIGOLI,MTERA,S.1049,S1202,NON-GOVERNMENT,18,20,22,22,32,28,46,73,5,5,13,4,136,152,12,4,9,2,18.0,26.2,94,3.9238,6,6,873,712,MORE THAN 40
SINGIDA,IKUNGI,DUNG’UNYI,DUNG'UNYI SEMINARY,S.105,S0106,NON-GOVERNMENT,42,0,37,0,34,0,30,0,21,0,11,0,175,0,12,0,5,0,14.6,35.0,100,2.6498,4,3,46,41,LESS THAN 40
NJOMBE,NJOMBE,MATEMBWE,MANYUNYU,S.1050,S0271,GOVERNMENT,0,97,0,108,0,101,0,109,0,171,0,105,0,691,36,18,35,17,12.8,13.3,94,3.6712,6,6,570,704,MORE THAN 40
SHINYANGA,SHINYANGA,USANDA,SAMUYE,S.1051,S1239,GOVERNMENT,48,84,48,61,44,28,38,34,,,,,178,207,13,8,13,8,18.3,18.3,76,4.0111,7,7,1070,1323,MORE THAN 40
DAR ES SALAAM,ILALA MC,UPANGA MAGHARIBI,AL-MADRASATUS SAIFIYA TUL BURHANIYAH,S.1052,S1002,NON-GOVERNMENT,6,8,7,6,7,10,16,8,,,,,36,32,10,3,7,0,5.2,9.7,100,3.4031,5,5,132,97,LESS THAN 40
MOROGORO,KILOMBERO,KAMWENE,MLIMBA GIRLS,S.1053,S0261,NON-GOVERNMENT,0,21,0,56,0,42,0,35,,,,,0,154,9,0,7,0,17.1,22.0,100,3.3367,5,6,114,482,LESS THAN 40
MARA,RORYA,BUKWE,BUKWE,S.1055,S1226,GOVERNMENT,152,79,65,46,52,38,32,17,,,,,301,180,14,10,10,10,20.0,24.1,59,4.2803,7,8,1968,2599,MORE THAN 40
DAR ES SALAAM,KINONDONI MC,WAZO,HAVEN OF PEACE SEMINARI,S.1056,,NON-GOVERNMENT,13,11,12,13,13,26,12,10,11,24,15,20,76,104,19,31,18,29,3.6,3.8,,,,,,,
SINGIDA,MANYONI,MANYONI,AMANI GIRLS,S.1057,S0262,NON-GOVERNMENT,0,86,0,81,0,99,0,87,,,,,0,353,15,4,11,2,18.6,27.2,100,2.3451,3,3,75,55,MORE THAN 40
TANGA,TANGA CC,NGUVU MALI,HAKI,S.1059,S1553,NON-GOVERNMENT,8,6,8,16,23,9,15,3,,,,,54,34,7,1,7,0,11.0,12.6,100,3.5958,6,6,514,451,MORE THAN 40
IRINGA,IRINGA MC,GANGILONGA,IRINGA GIRLS,S.106,S0203,GOVERNMENT,0,41,0,97,0,122,0,116,0,238,0,209,0,823,25,33,22,33,14.2,15.0,96,3.1782,5,5,301,318,MORE THAN 40
ARUSHA,MERU,USARIVER,USA,S.1061,S1224,NON-GOVERNMENT,7,6,11,7,14,10,9,3,,,,,41,26,7,2,7,2,7.4,7.4,100,3.5186,6,6,162,283,LESS THAN 40
DAR ES SALAAM,UBUNGO,KWEMBE,BABRO JOHNSON,S.1062,S0264,NON-GOVERNMENT,0,82,0,84,0,87,0,116,0,118,0,106,0,593,27,11,16,6,15.6,27.0,100,2.3692,3,2,80,27,MORE THAN 40
NJOMBE,NJOMBE TC,MATOLA,ST. GETRUDE GIRLS,S.1064,S0270,NON-GOVERNMENT,0,63,0,57,0,45,0,60,,,,,0,225,14,4,10,3,12.5,17.3,99,3.4847,5,5,446,288,MORE THAN 40
TABORA,TABORA/UYUI,KIGWA,BISHOP KISANJI GIRLS,S.1065,S1243,NON-GOVERNMENT,0,39,0,50,0,86,0,88,,,,,0,263,12,1,7,1,20.2,32.9,100,3.8471,6,7,754,916,MORE THAN 40
KIGOMA,KIBONDO,BUSAGARA,MOYOWOSI,S.1066,S1244,GOVERNMENT,74,87,82,57,43,27,28,15,,,,,227,186,16,3,16,3,21.7,21.7,64,4.3942,8,8,2431,2008,MORE THAN 40
DAR ES SALAAM,KINONDONI MC,WAZO,CORNELIUS GIRLS,S.1067,,NON-GOVERNMENT,0,26,0,20,0,15,,,,,,,0,61,11,6,7,5,3.6,5.1,,,,,,,
SINGIDA,SINGIDA MC,MAJENGO,MWENGE,S.107,,GOVERNMENT,,,,,,,,,488,0,415,0,903,0,28,13,27,13,22.0,22.6,,,,,,,
DAR ES SALAAM,TEMEKE MC,TOANGOMA,ST. MARKS,S.1070,S1247,NON-GOVERNMENT,35,35,38,50,81,70,79,100,,,,,233,255,18,6,18,6,20.3,20.3,92,3.6616,6,5,564,336,MORE THAN 40
DAR ES SALAAM,UBUNGO,MSIGANI,MIDLANDS,S.1071,S1246,NON-GOVERNMENT,23,21,32,26,28,20,18,14,34,10,20,6,155,97,10,7,6,5,14.8,22.9,84,3.7695,6,7,667,1801,MORE THAN 40
MOROGORO,ULANGA,ISONGO,REGINA MUNDI GIRLS,S.1072,S0266,NON-GOVERNMENT,0,68,0,73,0,45,0,71,0,18,0,10,0,285,28,8,26,6,7.9,8.9,100,2.7732,4,4,175,121,MORE THAN 40
RUVUMA,TUNDURU,NAMASAKATA,NAMASAKATA,S.1074,S1627,GOVERNMENT,137,74,86,55,45,24,31,15,,,,,299,168,15,1,13,1,29.2,33.4,76,4.2682,7,8,1924,2129,MORE THAN 40
RUVUMA,TUNDURU,NANDEMBO,NANDEMBO,S.1075,S1318,GOVERNMENT,48,43,76,96,57,59,44,26,0,35,,,225,259,15,6,15,6,23.0,23.0,88,3.9029,6,7,835,1204,MORE THAN 40
MANYARA,BABATI,DABIL,DABIL,S.1076,S1358,GOVERNMENT,79,81,58,84,16,26,24,40,,,,,177,231,14,5,11,5,21.5,25.5,57,4.2896,7,9,2014,3078,MORE THAN 40
TANGA,KOROGWE,MAGAMBA KWALUKONGE,MKALAMO,S.1077,S1369,GOVERNMENT,52,62,58,78,40,56,25,33,,,,,175,229,16,5,16,5,19.2,19.2,47,4.5449,9,9,2996,3179,MORE THAN 40
KILIMANJARO,MOSHI,URU KASKAZINI,KISARIKA,S.1078,S1272,GOVERNMENT,82,42,102,25,82,18,32,41,80,0,80,0,458,126,17,13,17,13,19.5,19.5,71,4.1267,7,9,1392,3117,MORE THAN 40
KAGERA,BUKOBA,KATOMA,KATOMA,S.1079,S1504,GOVERNMENT,50,56,72,44,30,38,28,42,,,,,180,180,13,8,12,3,17.1,24.0,48,4.472,8,8,2763,2769,MORE THAN 40
RUKWA,SUMBAWANGA MC,CHANJI,KANTALAMBA,S.108,S0116,GOVERNMENT,71,0,151,0,134,0,116,0,148,1,137,0,757,1,34,15,34,15,15.5,15.5,88,3.2574,5,5,338,378,MORE THAN 40
SHINYANGA,SHINYANGA MC,IBADAKULI,RAJANI,S.1080,S1289,GOVERNMENT,70,62,41,29,17,27,35,19,,,,,163,137,12,8,12,8,15.0,15.0,74,4.2499,7,7,1855,1198,MORE THAN 40
MBEYA,BUSOKELO,LWANGWA,LWANGWA,S.1081,S1340,GOVERNMENT,67,103,57,66,59,68,34,67,139,0,101,0,457,304,26,11,26,11,20.6,20.6,71,4.2059,7,8,1661,2223,MORE THAN 40
MBEYA,RUNGWE,IKUTI,IKUTI,S.1082,S1273,GOVERNMENT,101,110,65,74,50,76,32,55,,,,,248,315,24,11,24,11,16.1,16.1,65,4.1383,7,7,1429,897,MORE THAN 40
MBEYA,BUSOKELO,MPOMBO,KYEJO,S.1083,S1492,GOVERNMENT,35,53,35,68,55,40,39,46,,,,,164,207,16,2,16,2,20.6,20.6,52,4.478,8,7,2781,1671,MORE THAN 40
MBEYA,BUSOKELO,ISANGE,ISANGE,S.1084,S1321,GOVERNMENT,58,56,43,49,33,38,31,35,,,,,165,178,17,4,17,4,16.3,16.3,45,4.4907,8,8,2830,2756,MORE THAN 40
MBEYA,BUSOKELO,KAMBASEGELA,NTABA,S.1085,S1322,GOVERNMENT,72,120,66,71,42,59,20,29,,,,,200,279,15,10,15,10,19.2,19.2,46,4.4228,8,8,2569,2675,MORE THAN 40
MBEYA,MBEYA CC,IYELA,SAMORA,S.1086,S1361,GOVERNMENT,77,57,129,133,113,119,98,92,90,45,,,507,446,21,22,21,22,22.2,22.2,84,3.7687,6,6,664,566,MORE THAN 40
MBEYA,KYELA,MATEMA,MATEMA BEACH,S.1087,S1262,GOVERNMENT,98,84,102,78,87,62,56,45,181,0,141,0,665,269,30,10,28,10,23.4,24.6,47,4.4702,8,8,2757,1953,MORE THAN 40
KILIMANJARO,HAI,MUUNGANO,HAI DAY,S.1088,S1288,GOVERNMENT,144,142,173,165,99,111,78,99,107,0,81,0,682,517,14,33,14,32,25.5,26.1,69,4.1694,7,7,1529,1627,MORE THAN 40
ARUSHA,ARUSHA CC,MOSHONO,MOSHONO,S.1089,S1316,GOVERNMENT,83,89,138,141,42,36,61,51,,,,,324,317,13,31,8,28,14.6,17.8,82,4.157,7,7,1494,1483,MORE THAN 40
LINDI,LINDI,NAMUPA,NAMUPA SEMINARI,S.109,S0141,NON-GOVERNMENT,46,0,43,0,42,0,45,0,5,0,,,181,0,11,1,8,1,15.1,20.1,100,2.8059,4,3,54,36,LESS THAN 40
TABORA,IGUNGA,NKINGA,ULAYA,S.1090,S1253,NON-GOVERNMENT,4,6,7,18,25,21,18,25,,,,,54,70,14,1,12,1,8.3,9.5,98,3.6496,6,6,557,796,MORE THAN 40
NJOMBE,NJOMBE,IKUNA,IKUNA,S.1091,S1331,GOVERNMENT,52,70,19,43,20,57,23,44,,,,,114,214,22,15,22,15,8.9,8.9,97,3.8009,6,7,708,1481,MORE THAN 40
NJOMBE,MAKAMBAKO TC,MAHONGOLE,MAHONGOLE,S.1092,S1332,GOVERNMENT,59,77,48,57,34,59,31,37,,,,,172,230,20,4,19,4,16.8,17.5,80,4.0507,7,7,1171,1606,MORE THAN 40
NJOMBE,WANGING'OMBE,IGWACHANYA,IGWACHANYA,S.1093,S1325,GOVERNMENT,50,94,53,80,34,65,29,97,,,,,166,336,19,14,19,14,15.2,15.2,97,3.5935,6,8,510,1855,MORE THAN 40
NJOMBE,NJOMBE,IGONGOLO,ITIPINGI,S.1094,S1913,GOVERNMENT,54,95,40,70,44,72,23,47,,,,,161,284,34,18,20,8,8.6,15.9,88,3.8404,6,7,744,1281,MORE THAN 40
NJOMBE,WANGING'OMBE,ILEMBULA,ILEMBULA,S.1095,S1364,GOVERNMENT,86,69,75,78,43,58,36,52,,,,,240,257,22,11,22,11,15.1,15.1,100,3.672,6,7,572,1090,MORE THAN 40
TANGA,TANGA CC,CENTRAL,OLD TANGA,S.1096,S1633,GOVERNMENT,122,135,126,118,73,107,104,111,,,,,425,471,23,28,22,25,17.6,19.1,74,3.7817,6,6,683,846,MORE THAN 40
TANGA,TANGA CC,TANGASISI,JAPAN,S.1097,S1323,GOVERNMENT,111,109,146,119,109,83,95,71,,,,,461,382,21,20,21,20,20.6,20.6,45,4.5693,9,9,3054,3306,MORE THAN 40
TANGA,KILINDI,JAILA,MKUYU,S.1098,S1263,GOVERNMENT,48,54,46,71,27,45,22,22,,,,,143,192,10,7,10,7,19.7,19.7,87,4.136,7,6,1419,610,MORE THAN 40
TANGA,TANGA CC,MSAMBWENI,ARAFAH SEMINARI,S.1099,S1257,NON-GOVERNMENT,35,35,35,50,29,53,17,51,27,10,17,2,160,201,12,3,10,3,24.1,27.8,100,3.4365,5,5,414,427,MORE THAN 40
DAR ES SALAAM,ILALA MC,UPANGA MASHARIKI,ZANAKI,S.11,S0222,GOVERNMENT,0,192,0,218,0,228,0,167,0,191,0,152,0,1148,21,49,21,46,16.4,17.1,95,3.1737,5,6,298,475,MORE THAN 40
MOROGORO,MOROGORO MC,BIGWA,BIGWA GIRLS,S.110,S0210,NON-GOVERNMENT,0,85,0,97,0,49,0,52,0,44,0,44,0,371,24,6,24,6,12.4,12.4,100,2.6782,4,4,150,53,MORE THAN 40
DAR ES SALAAM,TEMEKE MC,MIBURANI,TEDEO,S.1100,S1256,NON-GOVERNMENT,18,21,16,23,11,28,44,16,,,,,89,88,4,2,4,2,29.5,29.5,33,4.4294,8,10,1157,3399,LESS THAN 40
KAGERA,MULEBA,MUBUNDA,MUBUKA,S.1101,S1290,GOVERNMENT,222,186,151,177,88,91,71,64,,,,,532,518,14,7,12,7,50.0,55.3,59,4.3446,8,8,2243,2337,MORE THAN 40
KAGERA,MULEBA,KYEBITEMBE,KANYERANYERE,S.1102,S1569,GOVERNMENT,135,126,91,102,53,59,28,29,,,,,307,316,12,3,12,3,41.5,41.5,63,4.2138,7,8,1706,2334,MORE THAN 40
TANGA,LUSHOTO,UBIRI,UBIRI,S.1103,S1282,GOVERNMENT,48,78,66,92,33,78,35,55,0,49,0,41,182,393,14,20,10,19,16.9,19.8,56,4.4263,8,9,2578,3210,MORE THAN 40
ARUSHA,ARUSHA CC,BARAA,BARAA,S.1104,S1818,GOVERNMENT,45,68,133,112,89,84,82,94,,,,,349,358,23,25,17,24,14.7,17.2,68,4.2546,7,8,1874,2140,MORE THAN 40
ARUSHA,ARUSHA CC,MURIET,KINANA,S.1105,S1314,GOVERNMENT,81,127,34,87,41,75,24,78,,,,,180,367,16,7,16,7,23.8,23.8,40,4.5649,9,9,3040,2932,MORE THAN 40
PWANI,CHALINZE,UBENAZOMOZI,BWAWANI,S.1106,S1264,NON-GOVERNMENT,97,66,78,65,84,55,66,39,39,27,21,8,385,260,45,6,43,4,12.6,13.7,100,3.2492,5,5,333,369,MORE THAN 40
DODOMA,DODOMA MC,IPAGALA,MERRIWA,S.1107,S1261,NON-GOVERNMENT,17,34,30,39,39,48,46,29,19,15,15,2,166,167,18,3,12,1,15.9,25.6,94,3.7093,6,7,602,995,MORE THAN 40
MTWARA,MASASI,CHIUNGUTWA,CHIUNGUTWA,S.1108,S1338,GOVERNMENT,43,65,69,99,30,30,14,14,,,,,156,208,11,2,11,2,28.0,28.0,54,4.236,7,8,1790,2585,MORE THAN 40
IRINGA,MUFINDI,MNINGA,BROOKE BOND,S.1109,S1267,NON-GOVERNMENT,10,12,11,16,15,17,16,8,,,,,52,53,6,4,6,4,10.5,10.5,100,2.2298,3,3,21,39,LESS THAN 40
MOROGORO,ULANGA,UPONERA,KASITA SEMINARY,S.111,S0117,NON-GOVERNMENT,75,0,114,0,55,0,80,0,30,0,41,0,395,0,17,1,17,1,21.9,21.9,100,2.1858,3,2,48,30,MORE THAN 40
RUKWA,KALAMBO,SOPA,ULUNGU,S.1110,S1271,GOVERNMENT,18,18,25,19,16,5,9,4,,,,,68,46,13,1,13,1,8.1,8.1,86,3.9834,6,9,463,3322,LESS THAN 40
RUKWA,SUMBAWANGA,SANDULULA,MAKUZANI,S.1111,S1269,GOVERNMENT,60,55,50,28,30,11,21,13,,,,,161,107,16,5,15,5,12.8,13.4,68,4.2657,7,7,1915,1342,MORE THAN 40
KILIMANJARO,HAI,MACHAME KASKAZINI,HARAMBEE,S.1112,S1324,GOVERNMENT,53,72,69,88,42,53,21,50,,,,,185,263,20,14,16,11,13.2,16.6,82,4.1017,7,7,1311,1825,MORE THAN 40
KILIMANJARO,MOSHI,KINDI,KINDI KATI,S.1113,S1335,GOVERNMENT,45,51,58,37,37,33,27,43,,,,,167,164,18,4,18,4,15.0,15.0,39,4.6495,9,9,3194,3013,MORE THAN 40
KIGOMA,KIGOMA,BITALE,BITALE,S.1114,S1336,GOVERNMENT,119,97,65,50,55,37,53,30,,,,,292,214,21,10,19,10,16.3,17.4,64,4.3288,8,8,2174,2004,MORE THAN 40
